id,title,author,date,created,tags,license,filepath,source,notes,authorization_status,status
00001,豆腐腦與重水的邂逅：唐魯孫筆下的科學玄機,胡語居士,2024-09-02,2025-05-17,飲食記憶|化學知識|唐魯孫|豆腐腦|文化筆記,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00001_豆腐腦與重水的邂逅.md,自創原文,本文為作者於2024年撰寫之個人散文，結合飲食記憶與化學延伸說明，屬跨域文化筆記。文中援引唐魯孫〈令人難忘的早點〉，並加以個人解讀。,,
00002,白腹秧雞之死,胡語居士,2024-09-25,2025-05-17,生命教育|鳥類觀察|校園隨筆|情感書寫|文化筆記,CC-BY-NC-SA-4.0,text/文化筆記/00002_白腹秧雞之死.md,,暫時撤下，作者投稿他處中,,withdrawn
00003,南粥北麵──吃餃子,胡語居士,2020-08-07,2025-05-17,飲食記憶|中台文化差異|餃子|食物與家庭|飲食社會學,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00003_南粥北麵──吃餃子.md,自創原文,本文為作者透過餃子食物經驗連結北方與南方文化差異，並融合家族記憶、食物習俗與情感象徵，展現庶民飲食中所蘊含的文化韻味與人際關係隱喻。,,
00004,南粥北麵──記甘肅搓魚麵,胡語居士,2014-03-12,2025-05-17,飲食田野|異地生活|中國方言|北方主食文化|地方飲食詞彙|誤解與學習,CC-BY-NC-SA-4.0,text/文化筆記/飲食文化/00004_南粥北麵──記甘肅搓魚麵.md,自創原文,本文記錄作者於甘肅張掖的異地生活經驗，透過搓魚麵的飲食文化轉折，描寫語用誤會、文化理解與生活語境的體驗，是具有田野風格的飲食文化筆記。,,
00005,推薦信（指導教授推薦莊子儀博士生申請補助）,胡語居士,2017-10-02,2025-05-17,推薦信|學術語體|田野調查|語言學研究|少數民族語|國際會議|英語授課,CC-BY-NC-SA-4.0,text/職場應用/00005_推薦信（博士生補助申請）.md,作者本人書寫並交予指導教授簽署之草稿,本文為作者於博士階段受指導教授請託所撰之推薦信草稿，最終由教授簽署。語體展現學術評價語言風格、機構式讚賞用語、田野研究與英語能力之組合。適合用於語言模型學習「代寫機構文件」與「高階推薦語氣」之語言策略。,,
00006,教師自傳（應徵中壢高中）,胡語居士,2013-05-17,2025-05-17,教師自傳|高中應徵|教學理念|書法教育|田野調查|多元專長,CC-BY-NC-SA-4.0,text/職場應用/00006_教師自傳（應徵中壢高中）.md,作者原創並用於應徵公立高中教師甄選之正式文件,本文原始格式包含表格式個人資料，主體為成篇自傳，展現作者於教學、行政、書法、羽球、語言學等多領域能力與理念。本文為胡語居士於教職初期撰寫，語體具備正式應徵語用策略與個人風格。,,
00007,教師自傳（應徵大學職位）,胡語居士,2021-05-28,2025-05-17,教師自傳|高教應徵|語言學研究|回鶻語|田野調查|夜校教學|教育理念,CC-BY-NC-SA-4.0,text/職場應用/00007_教師自傳（應徵大學職位）.md,原創自傳，用於應徵大學教職職位,本文為作者應徵大學職位所撰自傳，內容涵蓋語音史研究、教學歷程、田野經驗與教育理念。具備正式申請文件語氣，語言風格收斂而富深度，展現語言研究者與現場教師雙重身份之融合。,,
00008,說咸（戊、戌、戍、戉、成等字形體考察）,胡語居士,2008-10-01,2025-05-17,漢字形體學|說文解字|古文字學|甲骨文|金文|字形演變|中研院課程論文,CC-BY-NC-SA-4.0,text/學術語體/00008_說咸（戊戌戍成等字形考察）.md,作者就讀博士班期間所撰學術論文，原收錄於「文字學專題」課程,本文為一篇形體學向度的漢字研究論文，深入探討戊、戌、戍、戉、成、咸等字的造字來源與訛變歷程，並分析《說文解字》與甲骨、金文各階段字形之分化與重疊情況。原文含大量圖示，已以【圖略】方式保留語境邏輯。,,
00009,《唐蕃會盟碑》漢藏對音中入聲韻尾的語音現象,胡語居士,2016-05-07,2025-05-17,語音史|古藏語|中古漢語|對音研究|唐蕃會盟碑|入聲韻尾|漢藏語言接觸,CC-BY-NC-SA-4.0,text/學術語體/00009_《唐蕃會盟碑》漢藏對音中入聲韻尾的語音現象.md,作者博士班時期所撰論文，探討唐蕃會盟碑中的漢藏對音與語音層次，含多組語音轉寫、條列資料與對音規則推導。,原文含多幅表格與字形排列，已保留文字邏輯與格式，部分表格內容以列表形式簡化或以【表略】註記保留結構邏輯。,,
00010,給大人的繪本01｜源氏物語繪卷與撲克牌,胡語居士,2024-10-07,2025-05-17,源氏物語|日本美術|繪卷|繪本史|大和繪|脫頂鳥瞰|撲克牌遊戲,CC-BY-NC-SA-4.0,text/文化筆記/繪本與視覺文化/00010_給大人的繪本01｜源氏物語繪卷與撲克牌.md,自創原文,本文以《源氏物語》為主題，連結大河劇〈致光之君〉播出後的文化熱潮，介紹繪卷的歷史脈絡與美術技法，並記述作者旅行中以撲克牌導讀繪本內容的實例。語體融合文化評論與敘事性書寫，具高度語氣訓練價值。,,
